Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
36.0,38.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
35.0,37.0,35.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5
37.0,37.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
37.0,37.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
37.0,37.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
36.0,36.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
35.0,36.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
35.0,36.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
34.5,35.5,34.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
34.0,35.0,33.5,33.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-0.5
34.0,34.0,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
32.5,33.5,32.5,33.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
33.0,33.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
32.0,32.0,30.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.0
30.5,32.0,30.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
31.0,32.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
31.0,32.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
31.5,33.0,31.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5
31.0,33.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
31.0,32.0,30.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
31.0,32.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
31.0,32.5,31.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
30.0,32.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
30.0,32.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
30.0,32.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
30.0,31.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,31.0,29.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
30.0,30.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
28.0,30.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
29.0,30.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
29.0,30.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
29.0,30.5,29.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5
29.0,31.0,29.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5
30.0,31.0,29.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-0.5
30.0,30.0,28.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.0
29.0,30.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,30.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
29.0,30.5,29.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
29.0,30.5,29.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
29.0,30.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
29.0,30.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.5,30.5,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.5
29.0,30.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
29.0,30.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
29.0,30.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
29.5,30.5,29.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
32.0,34.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
31.0,34.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
31.0,33.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
31.0,35.0,31.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
32.0,35.0,32.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
33.0,37.5,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0
35.0,40.0,35.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
38.0,38.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
38.0,39.0,35.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.5
36.0,38.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
43.0,43.0,36.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-6.0
44.0,44.0,39.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-3.0
42.0,44.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0
41.0,41.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
40.0,42.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
40.0,43.0,40.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
40.0,42.0,40.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5
